fromNode	toNode	weight	direction	fromAltName	toAltName
6PGD_MOUSE	AB8A_ARATH	0.268637552114267	undirected	NA	NA
6PGD_MOUSE	ACDSB_RAT	0.27282977073185	undirected	NA	NA
6PGD_MOUSE	ADCK1_XENLA	0.163490689153377	undirected	NA	NA
6PGD_MOUSE	AHA1_YEAST	0.185160943125439	undirected	NA	NA
6PGD_MOUSE	APM1A_ORYSJ	0.283126215188738	undirected	NA	NA
6PGD_MOUSE	CDA1_CRYNH	0.319677163566639	undirected	NA	NA
6PGD_MOUSE	CHS1_CRYNH	0.11296991969717	undirected	NA	NA
6PGD_MOUSE	CHS4_PYRO7	0.233816005740998	undirected	NA	NA
6PGD_MOUSE	CYT4_NEUCR	0.314847749503941	undirected	NA	NA
6PGD_MOUSE	DBP2_EREGS	0.278060098696623	undirected	NA	NA
6PGD_MOUSE	ECM29_MOUSE	0.271553870728941	undirected	NA	NA
6PGD_MOUSE	EF1B_ARTSA	0.133794334685647	undirected	NA	NA
6PGD_MOUSE	ERG8_CANAL	0.337537112073655	undirected	NA	NA
6PGD_MOUSE	FFT2_SCHPO	0.173135379117146	undirected	NA	NA
6PGD_MOUSE	FKB2B_RHIO9	0.346322837948349	undirected	NA	NA
6PGD_MOUSE	FUMH_RHIOR	0.234805247216196	undirected	NA	NA
6PGD_MOUSE	H4_OIKDI	0.209721806896765	undirected	NA	NA
6PGD_MOUSE	HDA1A_XENLA	0.147701706725401	undirected	NA	NA
6PGD_MOUSE	HIS9_SCHPO	0.209924223876246	undirected	NA	NA
6PGD_MOUSE	HRD3_CANGA	0.302678258836995	undirected	NA	NA
6PGD_MOUSE	IDE_HUMAN	0.144512260344218	undirected	NA	NA
6PGD_MOUSE	JMJ22_ARATH	0.31909948597859	undirected	NA	NA
6PGD_MOUSE	LONF1_HUMAN	0.185762026143126	undirected	NA	NA
6PGD_MOUSE	MCA3A_DANRE	0.208164943542306	undirected	NA	NA
6PGD_MOUSE	MST12_PYRO7	0.34093845224652	undirected	NA	NA
6PGD_MOUSE	MTT1_USTMD	0.328915567026194	undirected	NA	NA
6PGD_MOUSE	NIF3_SCHPO	0.162446200905481	undirected	NA	NA
6PGD_MOUSE	NT53_DROME	0.245487016099753	undirected	NA	NA
6PGD_MOUSE	ODO1_SCHPO	0.296061605522764	undirected	NA	NA
6PGD_MOUSE	PYRF_RHINI	0.143823861268062	undirected	NA	NA
6PGD_MOUSE	RL161_PLAVT	0.161028292971954	undirected	NA	NA
6PGD_MOUSE	RL35_SCHPO	0.230831800929412	undirected	NA	NA
6PGD_MOUSE	RUSD4_XENTR	0.245486867054999	undirected	NA	NA
6PGD_MOUSE	STAG2_HUMAN	0.302408505821819	undirected	NA	NA
6PGD_MOUSE	SUB7_ARTGP	0.113111863091032	undirected	NA	NA
6PGD_MOUSE	TAF5_SCHPO	0.292480684276507	undirected	NA	NA
6PGD_MOUSE	UBP4_RAT	0.226059648305188	undirected	NA	NA
6PGD_MOUSE	VPS51_DICDI	0.29980172640956	undirected	NA	NA
6PGD_MOUSE	YGK5_SCHPO	0.175942606475679	undirected	NA	NA
6PGD_MOUSE	YMR1_SCHPO	0.140892299483486	undirected	NA	NA
6PGD_MOUSE	YO075_YEAST	0.254277419984449	undirected	NA	NA
6PGD_MOUSE	GeneID:77286239	0.214534161202367	undirected	NA	NA
6PGD_MOUSE	GeneID:77286434	0.296465623620363	undirected	NA	NA
6PGD_MOUSE	GeneID:77286680	0.111943498241032	undirected	NA	NA
6PGD_MOUSE	GeneID:77286830	0.265639048583847	undirected	NA	NA
6PGD_MOUSE	GeneID:77287005	0.124952212977628	undirected	NA	NA
6PGD_MOUSE	GeneID:77287099	0.266539845175694	undirected	NA	NA
6PGD_MOUSE	GeneID:77287213	0.189233364339282	undirected	NA	NA
6PGD_MOUSE	GeneID:77288073	0.156113557417847	undirected	NA	NA
6PGD_MOUSE	GeneID:77288148	0.200078945722773	undirected	NA	NA
6PGD_MOUSE	GeneID:77288490	0.29223298870234	undirected	NA	NA
6PGD_MOUSE	GeneID:77288854	0.265105476790771	undirected	NA	NA
6PGD_MOUSE	GeneID:77288923	0.128919943273823	undirected	NA	NA
6PGD_MOUSE	GeneID:77289013	0.204018074475907	undirected	NA	NA
6PGD_MOUSE	GeneID:77289014	0.283801002026183	undirected	NA	NA
6PGD_MOUSE	GeneID:77289581	0.277771598040839	undirected	NA	NA
6PGD_MOUSE	GeneID:77289613	0.270110927177865	undirected	NA	NA
6PGD_MOUSE	GeneID:77289985	0.340743320688458	undirected	NA	NA
6PGD_MOUSE	GeneID:77289999	0.334916340862414	undirected	NA	NA
6PGD_MOUSE	GeneID:77290108	0.204712552172889	undirected	NA	NA
6PGD_MOUSE	GeneID:77290287	0.261856739973064	undirected	NA	NA
6PGD_MOUSE	cysH	0.149933256742973	undirected	NA	NA
6PGD_MOUSE	dapF	0.111135095522897	undirected	NA	NA
6PGD_MOUSE	dndD	0.205014918178404	undirected	NA	NA
6PGD_MOUSE	hemB	0.217759588951887	undirected	NA	NA
6PGD_MOUSE	minC	0.187313978627557	undirected	NA	NA
6PGD_MOUSE	nusA	0.280127670239974	undirected	NA	NA
6PGD_MOUSE	rdgB	0.177392381956796	undirected	NA	NA
6PGD_MOUSE	thrC	0.127225876699234	undirected	NA	NA
6PGD_MOUSE	uvrC	0.214509407166848	undirected	NA	NA
AB8A_ARATH	ACDSB_RAT	0.35038026625895	undirected	NA	NA
AB8A_ARATH	ADCK1_XENLA	0.20280122307285	undirected	NA	NA
AB8A_ARATH	AHA1_YEAST	0.140848919558965	undirected	NA	NA
AB8A_ARATH	APM1A_ORYSJ	0.251362945850193	undirected	NA	NA
AB8A_ARATH	CDA1_CRYNH	0.253980320792043	undirected	NA	NA
AB8A_ARATH	CHS1_CRYNH	0.199997964757594	undirected	NA	NA
AB8A_ARATH	CHS4_PYRO7	0.213141283893764	undirected	NA	NA
AB8A_ARATH	CYT4_NEUCR	0.35327791733382	undirected	NA	NA
AB8A_ARATH	DBP2_EREGS	0.203345855956926	undirected	NA	NA
AB8A_ARATH	ECM29_MOUSE	0.329123049908144	undirected	NA	NA
AB8A_ARATH	EF1B_ARTSA	0.151442038447308	undirected	NA	NA
AB8A_ARATH	ERG8_CANAL	0.262944406498855	undirected	NA	NA
AB8A_ARATH	FFT2_SCHPO	0.142613245761423	undirected	NA	NA
AB8A_ARATH	FKB2B_RHIO9	0.284121461256789	undirected	NA	NA
AB8A_ARATH	FUMH_RHIOR	0.230499159190845	undirected	NA	NA
